Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/orders,4344,959,7100.0,7306.194689986197,61.61640000004809,21794.723599999998,430343.00092081033,7.242143040107191,1.598806440023664,7100,9500,11000,11000,13000,15000,16000,17000,20000,22000,22000
POST,/orders/create,4391,912,1500.0,3145.5940227966316,59.695799999985866,13834.181700000003,167.70667273969482,7.320499560108351,1.5204499200225041,1500,4400,6100,7000,8500,9400,10000,10000,11000,14000,14000
,Aggregated,8735,1871,4500.0,5214.700983102454,59.695799999985866,21794.723599999998,214098.04190040068,14.562642600215542,3.119256360046168,4500,7200,8600,9400,11000,13000,15000,16000,19000,22000,22000
