Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/orders,47380,45735,1800.0,2377.738383647114,58.30299999996669,21521.797999999988,42289.22876741241,81.02916839117624,78.21589312727829,1800,2200,2600,2800,4100,11000,13000,15000,17000,19000,22000
POST,/orders/create,47360,44873,75,646.8398241342928,57.64360000000579,12432.5093,24.18745777027027,80.99496443659997,76.74170268504119,75,88,98,110,210,8100,10000,10000,11000,11000,12000
,Aggregated,94740,90608,150.0,1512.4718037597736,57.64360000000579,21521.797999999988,21161.169273801985,162.0241328277762,154.95759581231948,150,1400,1900,2200,3000,9200,12000,13000,17000,19000,22000
