Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products,2591,31,19000.0,18983.645443573925,81.09930000000531,38338.57269999999,922733.3936703976,4.321077045855476,0.05169949379448852,19000,22000,24000,25000,28000,30000,32000,33000,37000,38000,38000
POST,/products/create,2627,30,110.0,299.28114754472824,64.57799999998315,7636.4743,166.24133993148078,4.381115167681334,0.0500317681882147,110,180,330,400,550,850,1800,2800,6300,7600,7600
,Aggregated,5218,61,1600.0,9577.009758317383,64.57799999998315,38338.57269999999,458267.33211958606,8.70219221353681,0.10173126198270321,1600,16000,19000,21000,25000,28000,31000,32000,36000,38000,38000
