Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products,3188,831,133000.0,115377.219388551,67.71369999999877,444473.00629999995,1033361.6433500628,3.541312122376387,0.9230961021627282,133000,153000,167000,175000,201000,229000,269000,287000,345000,444000,444000
POST,/products/create,3667,608,420.0,2019.1493324243227,63.10290000000052,64398.41889999997,142.4663212435233,4.073397601240342,0.6753819856978805,420,740,1400,3000,8400,9500,10000,11000,23000,64000,64000
,Aggregated,6855,1439,4300.0,54737.67994350111,63.10290000000052,444473.00629999995,480653.44172137126,7.614709723616729,1.5984780878606086,4300,22000,129000,142000,173000,198000,234000,266000,329000,444000,444000
