Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/products,745,0,750.0,857.1662633557055,491.8022000000093,2966.6232999999806,654573.3879194631,2.484284641538548,0.0,750,880,960,1000,1200,1500,2000,2200,3000,3000,3000
POST,/products/create,740,0,81,144.04707148648657,63.44819999998208,1302.2463000000073,168.0,2.4676115902530547,0.0,82,120,190,230,310,360,470,550,1300,1300,1300
,Aggregated,1485,0,540.0,501.807204781145,63.44819999998208,2966.6232999999806,328472.3865319865,4.951896231791602,0.0,540,670,760,830,1000,1200,1600,2000,2700,3000,3000
