Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,1406,0,34000.0,34517.458129445266,1842.1454000000015,60029.23549999997,1694420.1266002846,2.344254329169192,0.0,34000,38000,41000,43000,47000,50000,52000,55000,59000,60000,60000
POST,/users/create,1428,0,120.0,638.9033692577028,67.49250000000018,10118.305800000002,131.0,2.380935406866007,0.0,120,450,790,960,1600,2400,4100,6700,10000,10000,10000
GET,/users/testuser,1489,0,290.0,854.9277568838172,70.46539999999979,12639.599500000002,131.0,2.4826420313889948,0.0,290,690,960,1200,2000,3300,6200,8400,13000,13000,13000
,Aggregated,4323,0,850.0,11731.873137011327,67.49250000000018,60029.23549999997,551176.6886421466,7.207831767424194,0.0,850,4500,28000,32000,39000,45000,49000,51000,57000,60000,60000
