Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,3030,527,129000.0,117143.50298653445,86.94099999999594,470150.9306,1096285.9580858087,3.366886478646302,0.5855937868800664,129000,144000,156000,163000,188000,214000,244000,269000,348000,470000,470000
POST,/users/create,3465,421,410.0,1570.0161464357857,63.33580000000083,61460.08719999997,116.78441558441558,3.8502513691450284,0.4678083193102618,410,720,1200,1700,6000,8800,10000,10000,15000,61000,61000
GET,/users/testuser,3453,459,560.0,2386.3260640023204,63.13520000000139,49775.59490000002,115.44743701129453,3.8369171652692016,0.5100332982503805,560,1300,2500,3500,8600,12000,14000,16000,21000,50000,50000
,Aggregated,9948,1407,1200.0,37055.177311580206,63.13520000000139,470150.9306,333991.7321069562,11.054055013060532,1.5634354044407086,1200,7000,19000,112000,146000,168000,204000,231000,300000,470000,470000
