Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,2627,71,19000.0,18277.941307651312,60.088799999988396,40071.765699999996,914137.2280167491,4.375750108248166,0.11826351643913963,19000,22000,23000,24000,26000,28000,30000,31000,38000,40000,40000
DELETE,/users/6652e3380b92b28453af3968,3,2,310.0,233.24406666666655,65.63810000000103,323.5987999999992,31.666666666666668,0.004997049990386181,0.0033313666602574543,310,310,320,320,320,320,320,320,320,320,320
DELETE,/users/6652e33810eabe01065c9f1b,2,1,74,75.19599999999826,73.64619999999888,76.74579999999764,33.5,0.0033313666602574543,0.0016656833301287271,77,77,77,77,77,77,77,77,77,77,77
DELETE,/users/6652e3390b92b21db8af3990,17,16,120.0,307.1878588235334,79.7751000000062,939.3607000000088,28.647058823529413,0.028316616612188362,0.026650933282059634,120,440,490,490,700,940,940,940,940,940,940
DELETE,/users/6652e3390b92b220e2af3973,17,16,300.0,2886.1341176470582,64.87279999999629,10265.825999999997,28.647058823529413,0.028316616612188362,0.026650933282059634,300,5400,6800,7200,9100,10000,10000,10000,10000,10000,10000
DELETE,/users/6652e3390b92b22a72af398a,20,19,110.0,201.7708049999989,69.25889999999413,1077.567799999997,27.85,0.033313666602574545,0.031647983272445813,110,120,200,220,600,1100,1100,1100,1100,1100,1100
DELETE,/users/6652e3390b92b22d2baf3980,12,11,100.0,882.8486500000008,73.10870000000591,6291.1249,27.75,0.019988199961544724,0.018322516631415996,100,830,860,860,1200,6300,6300,6300,6300,6300,6300
DELETE,/users/6652e3390b92b27479af397e,11,10,340.0,1469.7514636363635,68.42620000000466,4961.025599999999,29.0,0.018322516631415996,0.016656833301287272,340,460,4700,4700,4900,5000,5000,5000,5000,5000,5000
DELETE,/users/6652e3390b92b27b11af3975,15,14,240.0,1908.0542266666648,64.32159999999953,10622.563299999996,28.733333333333334,0.024985249951930907,0.02331956662180218,240,1500,2000,2400,8200,11000,11000,11000,11000,11000,11000
DELETE,/users/6652e3390b92b2b03faf3977,8,7,89,3209.1904500000005,64.70110000000062,11226.473900000003,29.375,0.013325466641029817,0.01165978331090109,360,4300,9400,9400,11000,11000,11000,11000,11000,11000,11000
DELETE,/users/6652e3390b92b2d5c9af396e,5,4,1500.0,1367.8512800000008,66.54800000000094,2890.452400000001,30.2,0.008328416650643636,0.0066627333205149086,1500,2300,2300,2900,2900,2900,2900,2900,2900,2900,2900
DELETE,/users/6652e33910eabe06ec5c9f42,24,23,100,217.35837083333294,69.39730000000566,992.6507999999927,26.708333333333332,0.03997639992308945,0.038310716592960724,110,120,200,360,690,730,990,990,990,990,990
DELETE,/users/6652e33910eabe0c975c9f38,2,1,68.28180000000117,3610.208150000002,68.28180000000117,7152.134500000003,33.5,0.0033313666602574543,0.0016656833301287271,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200
DELETE,/users/6652e33910eabe10d05c9f4e,20,19,110.0,258.0254250000003,87.65739999999766,997.0990999999998,28.55,0.033313666602574545,0.031647983272445813,110,130,540,590,640,1000,1000,1000,1000,1000,1000
DELETE,/users/6652e33910eabe59495c9f47,28,27,98,206.04635357142746,71.47580000000175,1165.2143000000024,27.892857142857142,0.04663913324360436,0.044973449913475634,98,110,240,280,530,690,1200,1200,1200,1200,1200
DELETE,/users/6652e33910eabe5e745c9f2e,9,8,79,988.7046111111116,64.9052999999995,5244.723100000002,29.22222222222222,0.014991149971158543,0.013325466641029817,79,460,480,2300,5200,5200,5200,5200,5200,5200,5200
DELETE,/users/6652e33910eabe69775c9f33,25,24,530.0,1367.381495999999,64.02210000000252,8790.601599999995,27.32,0.04164208325321818,0.03997639992308945,530,1700,1800,2300,2900,3900,8800,8800,8800,8800,8800
DELETE,/users/6652e33910eabe6dfb5c9f27,13,12,1100.0,1683.3384923076917,67.46989999999897,4646.994500000002,28.846153846153847,0.02165388329167345,0.019988199961544724,1100,2300,2700,3400,3700,4600,4600,4600,4600,4600,4600
DELETE,/users/6652e33910eabe7f6d5c9f40,11,10,390.0,774.4440363636354,73.20269999999596,4543.218999999994,27.727272727272727,0.018322516631415996,0.016656833301287272,390,550,760,760,1000,4500,4500,4500,4500,4500,4500
DELETE,/users/6652e33910eabecbcd5c9f24,5,4,150.0,221.59208000000064,63.04869999999951,467.7236000000029,30.2,0.008328416650643636,0.0066627333205149086,150,360,360,470,470,470,470,470,470,470,470
DELETE,/users/6652e33910eabefa465c9f52,28,27,100.0,249.04652857142804,76.97810000000516,1124.4081000000108,27.392857142857142,0.04663913324360436,0.044973449913475634,100,230,480,510,550,560,1100,1100,1100,1100,1100
DELETE,/users/6652e33a0b92b20e7faf39ab,22,21,110.0,211.70884545454982,88.33220000002484,649.5111000000122,27.863636363636363,0.03664503326283199,0.03497934993270327,120,170,300,400,480,530,650,650,650,650,650
DELETE,/users/6652e33a0b92b21f0daf39a9,23,22,230.0,321.01446521739183,81.61430000001246,1117.7855999999906,28.47826086956522,0.038310716592960724,0.03664503326283199,230,380,420,620,790,860,1100,1100,1100,1100,1100
DELETE,/users/6652e33a0b92b228a1af39a5,23,22,97,149.99678695652295,67.2358999999858,533.5781999999938,26.652173913043477,0.038310716592960724,0.03664503326283199,97,110,140,150,420,450,530,530,530,530,530
DELETE,/users/6652e33a0b92b26826af39b3,24,23,100.0,265.7828875000021,83.18250000002081,1170.0081000000182,28.458333333333332,0.03997639992308945,0.038310716592960724,100,300,360,410,610,860,1200,1200,1200,1200,1200
DELETE,/users/6652e33a0b92b27c9aaf39c2,27,26,110.0,272.0421851851901,78.8167000000044,900.2366000000279,28.40740740740741,0.044973449913475634,0.0433077665833469,110,230,410,550,800,800,900,900,900,900,900
DELETE,/users/6652e33a0b92b28158af39b9,37,36,110.0,203.7971027027022,86.81810000001633,717.2197000000153,27.91891891891892,0.0616302832147629,0.05996459988463417,110,130,250,320,490,710,720,720,720,720,720
DELETE,/users/6652e33a0b92b2b1e7af3993,23,22,100.0,126.98374782608386,85.25430000000256,454.2308999999989,28.47826086956522,0.038310716592960724,0.03664503326283199,100,110,110,110,140,310,450,450,450,450,450
DELETE,/users/6652e33a0b92b2b295af39bb,24,23,100.0,204.51258333332825,80.27420000001939,881.353899999965,28.458333333333332,0.03997639992308945,0.038310716592960724,100,110,260,330,540,650,880,880,880,880,880
DELETE,/users/6652e33a0b92b2e727af39ad,23,22,350.0,422.25839130434497,82.2794999999985,1455.7327999999927,27.869565217391305,0.038310716592960724,0.03664503326283199,350,530,650,680,980,1000,1500,1500,1500,1500,1500
DELETE,/users/6652e33a10eabe0d2b5c9f6c,29,28,110.0,321.51383793103605,92.46000000001686,1623.2414999999776,28.379310344827587,0.04830481657373308,0.04663913324360436,110,420,510,530,800,910,1600,1600,1600,1600,1600
DELETE,/users/6652e33a10eabe1eb85c9f77,31,30,99,193.28757419354162,85.0570999999718,993.4130999999979,28.35483870967742,0.05163618323399054,0.04997049990386181,99,100,170,200,510,600,990,990,990,990,990
DELETE,/users/6652e33a10eabe2d395c9f5e,22,21,100.0,179.08163181818085,68.38689999997882,859.989100000007,28.5,0.03664503326283199,0.03497934993270327,100,100,220,270,320,420,860,860,860,860,860
DELETE,/users/6652e33a10eabe4d7a5c9f74,30,29,110.0,249.8769266666708,83.11230000003889,1436.9676000000027,28.366666666666667,0.04997049990386181,0.04830481657373308,110,150,400,460,620,620,1400,1400,1400,1400,1400
DELETE,/users/6652e33a10eabe74055c9f67,24,23,110.0,256.488445833335,85.93830000000935,965.5288000000155,28.458333333333332,0.03997639992308945,0.038310716592960724,110,120,480,500,610,630,970,970,970,970,970
DELETE,/users/6652e33a10eabe824d5c9f7a,41,40,100.0,236.83904878048065,83.16350000001194,1352.4087999999779,28.26829268292683,0.0682930165352778,0.06662733320514909,100,250,320,380,440,520,1400,1400,1400,1400,1400
DELETE,/users/6652e33a10eabefa205c9f72,28,27,100.0,329.37743214285376,80.64709999999309,2488.1742999999688,27.892857142857142,0.04663913324360436,0.044973449913475634,100,110,390,400,930,1500,2500,2500,2500,2500,2500
DELETE,/users/6652e33b0b92b2070caf39db,26,25,98,186.28688846154134,90.15940000000455,1090.6155999999783,28.423076923076923,0.0433077665833469,0.04164208325321818,98,100,100,110,450,670,1100,1100,1100,1100,1100
DELETE,/users/6652e33b0b92b21a61af39ca,30,29,100.0,174.862463333335,85.49840000000586,617.1855999999707,28.366666666666667,0.04997049990386181,0.04830481657373308,110,110,120,320,460,590,620,620,620,620,620
DELETE,/users/6652e33b0b92b26fcaaf39cd,29,28,100.0,167.5990517241354,78.20710000004283,752.5229999999965,28.379310344827587,0.04830481657373308,0.04663913324360436,100,110,110,200,540,600,750,750,750,750,750
DELETE,/users/6652e33b0b92b276c9af39d4,31,30,100.0,275.5754290322553,75.81500000003416,1223.1037999999899,28.35483870967742,0.05163618323399054,0.04997049990386181,100,200,250,490,690,1100,1200,1200,1200,1200,1200
DELETE,/users/6652e33b0b92b2cdc3af39e6,38,37,110.0,374.8226552631624,84.37759999998207,1694.9354999999855,28.289473684210527,0.06329596654489163,0.0616302832147629,110,380,450,510,1400,1600,1700,1700,1700,1700,1700
DELETE,/users/6652e33b0b92b2dd0aaf39c6,29,28,100.0,283.87016896551063,88.55710000000272,1661.6582999999991,28.379310344827587,0.04830481657373308,0.04663913324360436,100,110,200,390,1100,1400,1700,1700,1700,1700,1700
DELETE,/users/6652e33b10eabe02895c9fa0,32,31,110.0,201.68959062500136,85.87069999998675,661.485099999993,28.34375,0.05330186656411927,0.05163618323399054,110,120,350,370,480,530,660,660,660,660,660
DELETE,/users/6652e33b10eabe5cad5c9f91,36,35,100.0,301.61425000000014,79.20569999998861,1646.3699999999903,28.305555555555557,0.05996459988463417,0.05829891655450545,110,140,440,450,800,1200,1600,1600,1600,1600,1600
DELETE,/users/6652e33b10eabe64b15c9f9a,42,41,110.0,268.70003333333494,83.18609999997761,1662.244199999975,28.261904761904763,0.06995869986540654,0.0682930165352778,110,160,440,500,640,790,1700,1700,1700,1700,1700
DELETE,/users/6652e33b10eabe66895c9f80,30,29,100.0,201.3844199999994,88.7243999999896,709.3749000000003,28.366666666666667,0.04997049990386181,0.04830481657373308,100,110,110,400,630,660,710,710,710,710,710
