Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/users/6652e3360b92b2db63af3908,3,2,68,67.87730000000163,66.92799999996168,68.48810000002459,31.666666666666668,0.010001634395969815,0.0066677562639798765,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e3360b92b2de6caf38f3,1,0,78.60679999998865,78.60679999998865,78.60679999998865,78.60679999998865,39.0,0.0033338781319899383,0.0,79,79,79,79,79,79,79,79,79,79,79
DELETE,/users/6652e33610eabe5bcd5c9eba,1,0,65.25990000000093,65.25990000000093,65.25990000000093,65.25990000000093,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e33610eabe90b85c9eb8,2,1,73.1614000000036,76.14420000000166,73.1614000000036,79.12699999999973,33.5,0.0066677562639798765,0.0033338781319899383,79,79,79,79,79,79,79,79,79,79,79
DELETE,/users/6652e3370b92b20629af3932,1,0,65.26270000000522,65.26270000000522,65.26270000000522,65.26270000000522,39.0,0.0033338781319899383,0.0,65,65,65,65,65,65,65,65,65,65,65
DELETE,/users/6652e3370b92b215beaf3911,1,0,327.6768000000061,327.6768000000061,327.6768000000061,327.6768000000061,39.0,0.0033338781319899383,0.0,330,330,330,330,330,330,330,330,330,330,330
DELETE,/users/6652e3370b92b21605af3921,1,0,76.41069999999672,76.41069999999672,76.41069999999672,76.41069999999672,39.0,0.0033338781319899383,0.0,76,76,76,76,76,76,76,76,76,76,76
DELETE,/users/6652e3370b92b21adaaf391b,1,0,66.60689999995384,66.60689999995384,66.60689999995384,66.60689999995384,39.0,0.0033338781319899383,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/users/6652e3370b92b21e11af3923,2,1,93.16940000002205,294.39150000001746,93.16940000002205,495.61360000001287,33.5,0.0066677562639798765,0.0033338781319899383,500,500,500,500,500,500,500,500,500,500,500
DELETE,/users/6652e3370b92b2243caf393a,2,1,75,104.16549999999347,74.68310000001566,133.6478999999713,33.5,0.0066677562639798765,0.0033338781319899383,130,130,130,130,130,130,130,130,130,130,130
DELETE,/users/6652e3370b92b23e50af3935,4,3,250.0,263.4413499999937,65.77040000001944,434.31199999997716,30.75,0.013335512527959753,0.010001634395969815,300,300,430,430,430,430,430,430,430,430,430
DELETE,/users/6652e3370b92b24984af391e,1,0,73.66120000000365,73.66120000000365,73.66120000000365,73.66120000000365,39.0,0.0033338781319899383,0.0,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e3370b92b2bd81af3928,3,2,200.0,232.43396666667118,67.25869999996803,427.9347000000371,31.666666666666668,0.010001634395969815,0.0066677562639798765,200,200,430,430,430,430,430,430,430,430,430
DELETE,/users/6652e3370b92b2d4d1af3930,2,1,130.0,282.2085000000243,125.4142000000229,439.0028000000257,33.5,0.0066677562639798765,0.0033338781319899383,440,440,440,440,440,440,440,440,440,440,440
DELETE,/users/6652e3370b92b2fddfaf392a,4,3,68,72.36032500001954,67.64840000005279,81.84049999999843,30.75,0.013335512527959753,0.010001634395969815,72,72,82,82,82,82,82,82,82,82,82
DELETE,/users/6652e33710eabe0a825c9efa,2,1,66,347.7256999999838,65.78879999995024,629.6626000000174,33.5,0.0066677562639798765,0.0033338781319899383,630,630,630,630,630,630,630,630,630,630,630
DELETE,/users/6652e33710eabe1b6a5c9ee6,2,1,72.46870000000172,73.35240000000454,72.46870000000172,74.23610000000735,33.5,0.0066677562639798765,0.0033338781319899383,74,74,74,74,74,74,74,74,74,74,74
DELETE,/users/6652e33710eabe2ab35c9ef2,1,0,67.5984000000085,67.5984000000085,67.5984000000085,67.5984000000085,39.0,0.0033338781319899383,0.0,68,68,68,68,68,68,68,68,68,68,68
DELETE,/users/6652e33710eabe2fb45c9eec,1,0,64.20129999997926,64.20129999997926,64.20129999997926,64.20129999997926,39.0,0.0033338781319899383,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/users/6652e33710eabe37f85c9eff,1,0,81.80069999997386,81.80069999997386,81.80069999997386,81.80069999997386,39.0,0.0033338781319899383,0.0,82,82,82,82,82,82,82,82,82,82,82
DELETE,/users/6652e3380b92b2231faf3947,1,0,391.5194999999585,391.5194999999585,391.5194999999585,391.5194999999585,39.0,0.0033338781319899383,0.0,390,390,390,390,390,390,390,390,390,390,390
DELETE,/users/6652e3380b92b223cdaf394b,1,0,63.34860000004028,63.34860000004028,63.34860000004028,63.34860000004028,39.0,0.0033338781319899383,0.0,63,63,63,63,63,63,63,63,63,63,63
DELETE,/users/6652e3380b92b2252faf3940,1,0,82.26830000000973,82.26830000000973,82.26830000000973,82.26830000000973,39.0,0.0033338781319899383,0.0,82,82,82,82,82,82,82,82,82,82,82
DELETE,/users/6652e3380b92b226d9af3953,1,0,72.20829999999978,72.20829999999978,72.20829999999978,72.20829999999978,39.0,0.0033338781319899383,0.0,72,72,72,72,72,72,72,72,72,72,72
DELETE,/users/6652e3380b92b26163af3943,1,0,68.61610000004248,68.61610000004248,68.61610000004248,68.61610000004248,39.0,0.0033338781319899383,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/users/6652e3380b92b262c1af3949,3,2,78,74.23639999999902,64.33270000002267,80.55919999998196,31.666666666666668,0.010001634395969815,0.0066677562639798765,78,78,81,81,81,81,81,81,81,81,81
DELETE,/users/6652e3380b92b27862af395b,3,2,71,191.46386666665194,66.39450000000124,436.6335999999933,31.666666666666668,0.010001634395969815,0.0066677562639798765,71,71,440,440,440,440,440,440,440,440,440
DELETE,/users/6652e33810eabe6ff75c9f16,1,0,63.777799999968465,63.777799999968465,63.777799999968465,63.777799999968465,39.0,0.0033338781319899383,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/users/6652e33810eabe82f35c9f09,3,2,170.0,216.04816666666693,88.07810000001837,388.6489999999867,31.666666666666668,0.010001634395969815,0.0066677562639798765,170,170,390,390,390,390,390,390,390,390,390
DELETE,/users/6652e33810eabec70a5c9f14,1,0,215.423200000032,215.423200000032,215.423200000032,215.423200000032,39.0,0.0033338781319899383,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/users/6652e33810eabeed5a5c9f10,3,2,340.0,254.61233333332225,66.05969999998251,353.02619999998797,31.666666666666668,0.010001634395969815,0.0066677562639798765,340,340,350,350,350,350,350,350,350,350,350
POST,/users/create,309,0,80,153.57964466019456,63.51709999999855,866.4310000000057,131.0,1.030168342784891,0.0,80,93,130,270,380,460,560,690,870,870,870
GET,/users/testuser,334,0,81,155.1689356287428,62.80519999998546,834.4082999999998,131.0,1.1135152960846395,0.0,81,97,200,270,400,450,560,600,830,830,830
,Aggregated,1649,162,330.0,586.1243090357783,62.80519999998546,3089.276600000005,348588.1995148575,5.497565039651408,0.54008825738237,330,910,1000,1100,1400,1600,1900,2100,2500,3100,3100
