Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,383,0,2300.0,2439.0062352480422,1281.135299999999,5074.9301999999825,1579395.1305483028,1.2776355065893792,0.0,2300,2600,2900,3100,3500,3900,4300,4700,5100,5100,5100
POST,/users/create,420,0,84,225.459133809523,63.15149999997516,1940.3592999999973,131.0,1.4010624354243846,0.0,84,99,200,390,680,850,990,1100,1900,1900,1900
GET,/users/testuser,422,0,82,191.09531729857744,62.89160000000038,1255.2641999999992,131.0,1.4077341613073577,0.0,82,94,140,240,570,800,980,1000,1300,1300,1300
,Aggregated,1225,0,120.0,905.6934271020406,62.89160000000038,5074.9301999999825,493892.7648979592,4.086432103321122,0.0,120,860,1800,2100,2700,3300,3800,4100,4900,5100,5100
